TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
1,0.1,58,11,17,-1.1990589328401455,179.75691738284212,10694.0,40.0,5.0,7.0,10.0,0.0,0.43,9.47,14.61,3
2,0.1,34,16,67,-55.53232750075231,-9.597604464061561,15367.0,40.0,5.0,7.0,10.0,0.0,1.68,6.22,18.36,3
3,0.21000000000000002,60,16,75,-31.997527622983313,-89.62873289893874,15994.0,40.0,5.0,7.0,10.0,0.0,1.88,10.12,20.61,3
4,0.38748917748917755,74,13,78,-80.71359307183037,153.99870057931332,17089.0,40.0,5.0,7.0,10.0,0.0,1.95,12.01,22.48,3
5,0.5346753246753247,90,14,86,-57.64409413208664,102.78438745859745,14052.0,40.0,5.0,7.0,10.0,0.0,2.15,14.48,20.49,3
6,0.7251515151515152,68,11,60,-21.57295700372832,68.88941550774703,9894.0,40.0,5.0,7.0,10.0,0.0,1.5,10.97,14.73,3
7,0.906969696969697,80,17,47,-30.17262821773641,-95.53151077255583,15861.0,40.0,5.0,7.0,10.0,0.0,1.18,13.19,21.49,3
8,1.016969696969697,83,20,12,33.452209361939296,-171.58249014118434,7468.0,40.0,5.0,7.0,10.0,0.0,0.3,13.85,13.1,3
9,1.1269696969696972,78,14,72,-42.5140907362401,-7.555423698002244,14058.0,40.0,5.0,7.0,10.0,0.0,1.8,12.68,19.67,3
10,1.1269696969696972,92,18,47,11.36893154567035,-69.73959273838318,10863.0,40.0,5.0,7.0,10.0,0.0,1.18,15.06,17.24,3
11,1.4404329004329008,100,14,53,22.953091940318785,88.81321148582157,4996.0,40.0,5.0,7.0,10.0,0.0,1.33,15.98,11.79,3
12,1.3304329004329007,33,18,38,8.857115725890623,14.136618447579906,7938.0,40.0,5.0,7.0,10.0,0.0,0.95,6.21,10.71,3
13,1.6673160173160178,59,13,93,-5.533370159350412,3.6939930587809897,9850.0,40.0,5.0,7.0,10.0,0.0,2.33,9.76,14.45,3
14,1.550432900432901,53,12,76,43.88633424555783,-37.1052882091324,6469.0,40.0,5.0,7.0,10.0,0.0,1.9,8.79,10.56,3
15,2.06991341991342,98,16,43,-88.39920611349497,-131.33931370122173,17638.0,40.0,5.0,7.0,10.0,0.0,1.08,15.82,24.29,3
16,1.87943722943723,45,12,91,-4.515198039453523,49.670823711565816,8255.0,40.0,5.0,7.0,10.0,0.0,2.28,7.59,11.98,3
