TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
1,0.1,30,16,43,18.144213273122958,159.9156454720528,7866.0,40.0,5.0,7.0,10.0,0.0,1.08,5.62,10.44,3
2,0.1,43,19,59,51.88157021818256,-116.47769184798777,6725.0,40.0,5.0,7.0,10.0,0.0,1.48,7.78,10.28,3
3,0.28614718614718615,60,13,16,-38.151552275277126,94.15624975362545,11811.0,40.0,5.0,7.0,10.0,0.0,0.4,9.91,15.9,3
4,0.39614718614718614,55,14,56,-35.606814801818686,-27.96071669817394,14233.0,40.0,5.0,7.0,10.0,0.0,1.4,9.23,18.35,3
5,0.39614718614718614,54,19,60,-3.2302964468566984,159.79580115371647,10048.0,40.0,5.0,7.0,10.0,0.0,1.5,9.43,14.27,3
6,0.6385714285714286,23,19,82,-27.290488131437115,-21.19133355304453,13118.0,40.0,5.0,7.0,10.0,0.0,2.05,4.78,15.65,3
7,0.7485714285714286,89,20,16,-50.900838079547306,82.17133177821711,13143.0,40.0,5.0,7.0,10.0,0.0,0.4,14.75,19.16,3
8,1.0785714285714285,15,11,38,-60.77005788042199,-111.31399964677321,19202.0,40.0,5.0,7.0,10.0,0.0,0.95,3.02,20.7,3
9,0.8585714285714285,88,19,22,-81.4003382129721,96.58786561386694,16569.0,40.0,5.0,7.0,10.0,0.0,0.55,14.53,22.55,3
10,1.243073593073593,96,10,14,-69.16951286981998,161.119825010392,16464.0,40.0,5.0,7.0,10.0,0.0,0.35,15.1,22.61,3
11,0.9685714285714285,95,10,24,26.638206040223835,-34.02485657048129,8121.0,40.0,5.0,7.0,10.0,0.0,0.6,14.95,14.28,3
12,1.353073593073593,56,12,59,44.25432158915288,-56.458827838229766,7003.0,40.0,5.0,7.0,10.0,0.0,1.48,9.24,11.14,3
13,1.0785714285714285,99,17,60,-32.324006595424756,136.9490217964099,12159.0,40.0,5.0,7.0,10.0,0.0,1.5,16.04,19.03,3
