TaskID,TaskFileSize,TaskOutputFileSize,TaskFileLength,CpuTime,TotalLength,CostPerSec,StartExecTime,VmID
107,20,15,13,0.866666667,13,44,57.04066451,6
108,77,17,15,0.965072464,15,44,57.90733118,6
109,58,16,96,4.562973931,96,44,10.39837503,9
110,58,15,78,5.993006993,78,42,144.0003152,5
111,85,15,10,0.38,10,46,59.1429469,11
112,10,19,35,1.265185185,35,46,9.16885593,12
113,79,18,31,2.772337662,31,42,10.38171828,4
114,74,13,52,2.097228608,52,46,59.5229469,11
115,83,18,12,0.8,12,44,58.87240364,6
116,43,19,27,1.733784461,27,44,59.67240364,6
117,20,13,34,1.172413793,34,46,6.923562806,13
118,66,10,83,6.356643357,83,42,149.9933222,5
119,65,20,40,2.666666667,40,44,61.4061881,6
120,65,18,99,3.951979566,99,46,61.6201755,11
121,64,12,77,3.639698992,77,44,14.96134896,9
122,90,17,66,5.013986014,66,42,156.3499656,5
123,69,18,25,1.629254658,25,44,64.07285477,6
124,57,13,17,1.506493506,17,42,13.15405594,4
125,90,19,68,2.717598978,68,46,65.57215507,11
126,97,19,15,2.111111111,15,42,0.1,2
127,29,15,21,1.398879552,21,44,65.70210943,6
128,70,20,46,3.538461538,46,42,161.3639516,5
129,21,13,23,1.481644008,23,44,67.10098898,6
130,85,17,74,4.301540232,74,44,35.19358287,7
131,70,17,30,2.642024642,30,42,14.66054945,4
132,95,19,53,2.099310345,53,46,68.28975405,11
133,43,17,21,1.615384615,21,42,164.9024131,5
134,35,11,26,0.93063857,26,46,10.43404112,12
135,55,20,100,7.692307692,100,42,166.5177978,5
136,20,11,19,1.266666667,19,44,68.58263299,6
137,92,20,30,1.982129236,30,44,69.84929966,6
138,30,19,28,1.09037037,28,46,70.38906439,11
139,12,15,75,2.579443826,75,46,8.0959766,13
140,62,11,94,4.435372254,94,44,18.60104795,9
141,64,12,88,6.769230769,88,42,174.2101055,5
142,49,10,24,0.940689655,24,46,71.47943476,11
143,31,15,24,0.939259259,24,46,72.42012442,11
144,43,19,73,3.826131826,73,44,11.92469082,8
145,23,17,56,1.93063857,56,46,10.67542043,13
146,36,11,19,0.76,19,46,73.35938368,11
147,11,14,85,6.538461538,85,42,180.9793362,5
148,63,19,23,1.501960784,23,44,71.83142889,6
149,86,19,26,1.026206897,26,46,74.11938368,11
150,26,10,67,2.645517241,67,46,75.14559057,11
151,64,20,86,5.040666821,86,44,39.4951231,7
152,93,20,63,4.846153846,63,42,187.5177978,5
153,90,17,79,3.138186462,79,46,77.79110782,11
154,61,17,90,5.260566954,90,44,44.53578992,7
155,27,11,43,3.307692308,43,42,192.3639516,5
156,69,15,30,1.259425287,30,46,80.92929428,11
157,87,15,46,3.538461538,46,42,195.6716439,5
158,23,16,62,2.261689944,62,46,11.36467969,12
159,83,17,38,2.923076923,38,42,199.2101055,5
160,94,15,14,0.933333333,14,44,73.33338968,6
161,39,10,11,0.685714286,11,44,74.26672301,6
162,96,16,67,3.939821421,67,44,49.79635688,7
163,80,19,38,2.923076923,38,42,202.1331824,5
164,74,20,91,3.634533844,91,46,82.18871956,11
165,67,19,30,2.698412698,30,42,17.30257409,4
166,68,10,72,4.281152882,72,44,53.7361783,7
167,99,15,73,5.615384615,73,42,205.0562593,5
168,19,16,98,3.388458781,98,46,12.606059,13
169,76,11,45,2.966240409,45,44,74.9524373,6
170,20,17,47,3.615384615,47,42,210.6716439,5
171,83,11,97,5.060751623,97,44,15.75082264,8
172,23,15,48,3.692307692,48,42,214.2870285,5
173,19,13,30,1.247931034,30,46,85.82325341,11
174,56,11,70,5.384615385,70,42,217.9793362,5
175,12,11,50,1.961481481,50,46,87.07118444,11
176,79,11,61,4.052126352,61,44,77.9186777,6
177,96,18,66,5.076923077,66,42,223.3639516,5
178,85,13,18,0.72,18,46,89.03266593,11
179,27,14,42,1.652222222,42,46,89.75266593,11
180,81,20,50,2.945523592,50,44,58.01733118,7
181,18,19,62,2.131494253,62,46,15.99451778,13
182,38,15,94,7.230769231,94,42,228.4408747,5
183,46,18,82,4.272900858,82,44,20.81157427,8
184,18,15,15,0.517241379,15,46,18.12601203,13
185,42,18,61,2.258148148,61,46,13.62636963,12
186,71,15,33,2.915084915,33,42,20.00098679,4
187,88,10,86,5.033372305,86,44,60.96285477,7
188,92,20,93,7.153846154,93,42,235.6716439,5
189,96,12,80,3.269642401,80,46,91.40488815,11
190,53,19,13,0.843333333,13,44,81.97080406,6
191,11,11,61,2.64283208,61,44,3.688795518,10
192,16,10,52,1.896666667,52,46,15.88451778,12
193,86,16,93,7.153846154,93,42,242.8254901,5
194,59,15,25,1.621052632,25,44,82.81413739,6
195,46,14,27,1.060740741,27,46,94.67453055,11
196,19,18,14,0.936086957,14,44,84.43519002,6
197,69,10,30,1.748724753,30,44,65.99622708,7
198,55,20,88,3.49037037,88,46,95.73527129,11
199,29,14,57,4.384615385,57,42,249.9793362,5
200,100,16,74,4.32177118,74,44,67.74495183,7
201,42,19,61,2.401481481,61,46,99.22564166,11
202,14,16,88,6.769230769,88,42,254.3639516,5
203,49,12,26,1.699159664,26,44,85.37127698,6
204,51,14,69,4.051954695,69,44,72.06672301,7
205,57,14,17,0.68,17,46,101.6271231,11
206,98,14,87,3.45037037,87,46,102.3071231,11
207,25,10,81,6.230769231,81,42,261.1331824,5
208,37,18,26,1.71,26,44,87.07043664,6
209,61,18,100,4.742172567,100,44,23.03642021,9
210,77,17,59,2.331851852,59,46,105.7574935,11
211,46,18,27,2.076923077,27,42,267.3639516,5
212,67,14,32,2.461538462,32,42,269.4408747,5
213,65,15,58,2.303703704,58,46,108.0893454,11
214,28,17,58,4.461538462,58,42,271.9024131,5
215,29,17,88,4.157422905,88,44,27.77859277,9
216,51,16,22,0.844444444,22,46,110.3930491,11
217,51,16,30,2.307692308,30,42,276.3639516,5
218,11,14,19,0.76,19,46,111.2374935,11
219,54,13,50,1.971851852,50,46,111.9974935,11
220,28,10,26,2,26,42,278.6716439,5
221,67,17,45,3.461538462,45,42,280.6716439,5
222,98,18,74,4.341981424,74,44,76.1186777,7
223,83,15,11,0.428148148,11,46,113.9693454,11
224,32,18,17,0.68,17,46,114.3974935,11
225,17,17,22,0.88,22,46,115.0774935,11
226,32,11,27,1.08,27,46,115.9574935,11
227,55,20,56,4.307692308,56,42,284.1331824,5
228,17,14,73,3.448043382,73,44,31.93601568,9
229,36,18,78,2.892068966,78,46,17.78118444,12
230,78,17,79,6.076923077,79,42,288.4408747,5
231,51,11,76,3.957275542,76,44,25.08447513,8
232,55,18,18,0.73962963,18,46,117.0374935,11
233,39,18,26,2,26,42,294.5177978,5
234,80,17,28,1.12,28,46,117.7771231,11
235,86,17,23,2.522366522,23,42,7.313897214,3
236,57,15,46,1.84,46,46,118.8971231,11
237,71,19,96,7.384615385,96,42,296.5177978,5
238,83,12,33,2.187345538,33,44,88.78043664,6
239,41,10,35,1.376296296,35,46,120.7371231,11
240,41,18,13,0.828571429,13,44,90.96778218,6
241,32,11,81,3.211851852,81,46,122.1134194,11
242,60,15,11,0.733333333,11,44,91.79635361,6
243,58,19,25,1.625916454,25,44,92.52968694,6
244,36,16,58,2.729047619,58,44,35.38405906,9
245,76,17,68,5.230769231,68,42,303.9024131,5
246,21,11,40,1.739130435,40,44,6.331627598,10
247,56,15,63,2.300689655,63,46,20.67325341,12
248,87,20,96,7.384615385,96,42,309.1331824,5
249,62,14,94,4.916538084,94,44,29.04175067,8
250,51,16,22,0.88,22,46,125.3252713,11
251,64,19,40,1.571851852,40,46,126.2052713,11
252,10,14,82,3.008326948,82,46,22.97394306,12
253,10,11,23,1.769230769,23,42,316.5177978,5
254,23,13,27,1.620144928,27,44,80.46065913,7
255,18,12,89,6.846153846,89,42,318.2870285,5
256,79,13,64,3.761061157,64,44,82.08080406,7
257,100,18,57,4.384615385,57,42,325.1331824,5
258,97,17,80,5.321671122,80,44,94.15560339,6
259,90,10,92,3.647407407,92,46,127.7771231,11
260,97,10,86,6.615384615,86,42,329.5177978,5
261,72,20,90,4.733765296,90,44,33.95828875,8
262,94,15,72,2.859259259,72,46,131.4245305,11
263,72,11,27,2.076923077,27,42,336.1331824,5
264,52,13,62,2.48,62,46,134.2837898,11
265,68,15,50,3.846153846,50,42,338.2101055,5
266,88,18,80,4.725916966,80,44,85.84186521,7
267,79,11,69,5.307692308,69,42,342.0562593,5
268,39,14,19,0.76,19,46,136.7637898,11
269,46,20,27,1.06962963,27,46,137.5237898,11
270,86,12,66,4.372256729,66,44,99.47727452,6
271,23,19,85,3.218965517,85,46,25.98227001,12
272,50,10,46,3.538461538,46,42,347.3639516,5
273,74,10,12,1.226883117,12,42,9.836263736,3
274,50,16,58,2.758683089,58,44,38.11310668,9
275,83,20,15,2.134532135,15,42,2.211111111,2
276,46,18,18,1.632698413,18,42,22.91607171,4
277,47,10,17,0.662222222,17,46,138.5934194,11
278,54,14,59,2.36,59,46,139.2556417,11
279,68,18,10,1.412698413,10,42,4.345643246,2
280,54,13,62,4.769230769,62,42,350.9024131,5
281,10,18,39,1.840470742,39,44,40.87178977,9
282,69,18,73,2.924814815,73,46,141.6156417,11
283,96,10,45,2.93803678,45,44,103.8495312,6
284,65,12,40,3.076923077,40,42,355.6716439,5
285,58,19,46,3.004424104,46,44,106.787568,6
286,100,17,64,4.923076923,64,42,358.748567,5
287,94,17,96,3.84,96,46,144.5404565,11
288,25,15,69,3.591635034,69,44,38.69205405,8
289,17,12,92,7.076923077,92,42,363.6716439,5
290,42,18,40,2.645569166,40,44,109.7919921,6
291,36,17,67,2.665185185,67,46,148.3804565,11
292,45,15,88,4.181148459,88,44,42.71226051,9
293,70,15,12,1.698412698,12,42,5.758341658,2
294,48,14,15,0.545338442,15,46,29.20123553,12
295,95,12,77,5.923076923,77,42,370.748567,5
296,71,14,66,2.602962963,66,46,151.0456417,11
297,45,13,37,2.424285714,37,44,112.4375613,6
298,78,11,29,1.16,29,46,153.6486046,11
299,100,15,94,7.230769231,94,42,376.6716439,5
300,93,15,37,2.414340198,37,44,114.861847,6
301,70,15,61,2.408888889,61,46,154.8086046,11
302,51,17,43,2.836831208,43,44,117.2761872,6
303,70,16,95,4.502947907,95,44,46.89340897,9
304,96,17,29,2.604617605,29,42,24.54877012,4
305,95,12,47,1.872592593,47,46,157.2174935,11
306,99,18,62,4.769230769,62,42,383.9024131,5
307,63,10,100,3.971851852,100,46,159.0900861,11
308,72,17,98,5.136035677,98,44,42.28368908,8
309,52,10,48,3.692307692,48,42,388.6716439,5
310,65,13,28,1.12,28,46,163.061938,11
311,27,16,46,3.538461538,46,42,392.3639516,5
312,100,12,53,4.076923077,53,42,395.9024131,5
313,14,10,85,3.138148148,85,46,29.74657397,12
314,31,13,32,2.075040543,32,44,120.1130184,6
315,97,15,13,0.847058824,13,44,122.188059,6
316,78,14,52,3.436220987,52,44,123.0351178,6
317,65,17,25,2.243867244,25,42,27.15338772,4
318,36,10,97,3.330689655,97,46,18.64325341,13
319,76,17,14,1.935064935,14,42,7.456754357,2
320,77,18,71,5.461538462,71,42,399.9793362,5
321,29,12,49,2.854487882,49,44,90.56778218,7
322,67,15,98,4.644307636,98,44,51.39635688,9
323,23,18,12,0.48,12,46,164.181938,11
324,23,20,14,1.216450216,14,42,29.39725497,4
325,13,19,32,1.278518519,32,46,164.661938,11
326,33,13,55,4.230769231,55,42,405.4408747,5
327,52,13,51,2.04,51,46,165.9404565,11
328,98,19,70,5.384615385,70,42,409.6716439,5
329,44,14,83,3.917453416,83,44,56.04066451,9
330,21,12,65,2.592592593,65,46,167.9804565,11
331,89,10,51,3.923076923,51,42,415.0562593,5
332,60,12,32,2.083669468,32,44,126.4713388,6
333,33,19,69,2.555555556,69,46,32.88472212,12
334,18,11,20,1.538461538,20,42,418.9793362,5
335,96,16,95,5.545004455,95,44,93.42227006,7
336,84,18,30,2.640803641,30,42,30.61370518,4
337,66,14,87,3.478518519,87,46,170.5730491,11
338,100,19,78,6,78,42,420.5177978,5
