TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
3,0.1,31,14,21,69.84130415283786,-169.183886123378,17276.0,28.0,9.0,4.0,6.0,35.0,1.62,521.0,233.39,5
4,0.1,47,15,14,77.72635341212293,-63.31289843199302,18130.0,28.0,9.0,4.0,6.0,35.0,0.39,765.0,330.62,5
2,0.1,69,14,41,64.09569547816679,140.7883751295784,15647.0,29.0,1.0,3.0,5.0,41.0,0.56,456.0,211.27,4
1,0.1,80,19,45,-14.848514726275027,-23.308632189019107,9366.0,31.0,7.0,10.0,4.0,45.0,2.37,1070.0,460.21,3
