TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
5,0.1,25,12,20,-20.853165440182593,-139.5041439136757,18033.0,36.0,5.0,2.0,8.0,5.0,1.15,3.49,5.24,4
2,0.1,37,12,37,85.2707013417841,70.48205798129544,9151.0,36.0,5.0,2.0,8.0,5.0,1.73,5.05,6.04,4
1,0.1,79,20,29,-74.33709238339904,84.91303272986153,10181.0,42.0,5.0,3.0,3.0,8.0,0.56,6.92,8.54,3
3,0.1,16,18,59,40.921063553663515,107.22826916167816,8361.0,24.0,6.0,2.0,9.0,5.0,3.85,2.76,5.76,5
4,0.1,28,14,63,-32.91604402114009,88.91877611128871,14385.0,42.0,5.0,3.0,3.0,8.0,1.14,2.66,7.01,3
