TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
2,0.1,99,10,12,53.70517885327405,41.784152616666574,10407.0,10.0,3.0,10.0,2.0,81.0,0.29,595.0,294.79,4
1,0.1,49,16,55,7.892627504363475,-133.8140260387772,12879.0,16.0,2.0,7.0,4.0,55.0,3.06,406.0,201.82,3
4,0.1,71,19,69,30.74131957924942,-67.57110398233581,15276.0,10.0,3.0,10.0,2.0,81.0,0.9,545.0,274.97,4
3,0.1,97,18,92,-57.65538476264022,-152.5724045335791,14159.0,15.0,5.0,2.0,2.0,92.0,3.17,715.0,351.35,5
