Cloudlet ID,STATUS,Data centerID,VM ID,Tim,Start Time,Finish Time
92,SUCCESS,3,3,0.29,5.34,5.63
112,SUCCESS,5,8,0.33,5.34,5.67
127,SUCCESS,4,6,0.15,5.53,5.68
154,SUCCESS,3,2,0.53,5.2,5.74
180,SUCCESS,5,9,0.22,5.56,5.78
101,SUCCESS,4,5,0.48,5.31,5.79
134,SUCCESS,5,7,0.44,5.45,5.89
119,SUCCESS,5,8,0.22,5.67,5.89
165,SUCCESS,3,2,0.25,5.74,5.99
189,SUCCESS,5,9,0.22,5.78,6
135,SUCCESS,4,4,0.63,5.42,6.06
138,SUCCESS,3,1,0.65,5.45,6.1
169,SUCCESS,3,2,0.11,5.99,6.1
102,SUCCESS,3,3,0.47,5.63,6.1
141,SUCCESS,5,7,0.22,5.89,6.11
124,SUCCESS,5,8,0.22,5.89,6.11
191,SUCCESS,5,9,0.22,6,6.22
111,SUCCESS,4,5,0.45,5.79,6.25
131,SUCCESS,4,6,0.56,5.68,6.25
197,SUCCESS,5,9,0.11,6.22,6.33
148,SUCCESS,4,4,0.38,6.06,6.44
130,SUCCESS,5,8,0.42,6.11,6.54
149,SUCCESS,3,1,0.46,6.1,6.56
173,SUCCESS,3,2,0.57,6.1,6.67
198,SUCCESS,5,9,0.36,6.33,6.69
161,SUCCESS,4,4,0.26,6.44,6.7
145,SUCCESS,5,7,0.69,6.11,6.8
144,SUCCESS,4,6,0.57,6.25,6.81
106,SUCCESS,3,3,0.75,6.1,6.85
166,SUCCESS,4,4,0.22,6.7,6.92
120,SUCCESS,4,5,0.68,6.25,6.92
121,SUCCESS,3,3,0.17,6.85,7.02
150,SUCCESS,4,6,0.3,6.81,7.11
214,SUCCESS,5,9,0.43,6.69,7.12
159,SUCCESS,3,1,0.57,6.56,7.13
139,SUCCESS,5,8,0.69,6.54,7.23
193,SUCCESS,3,2,0.57,6.67,7.24
151,SUCCESS,5,8,0.11,7.23,7.34
228,SUCCESS,5,9,0.22,7.12,7.34
125,SUCCESS,3,3,0.41,7.02,7.43
160,SUCCESS,5,7,0.66,6.8,7.46
168,SUCCESS,4,4,0.54,6.92,7.46
179,SUCCESS,3,1,0.41,7.13,7.54
206,SUCCESS,3,2,0.3,7.24,7.54
234,SUCCESS,5,9,0.23,7.34,7.57
140,SUCCESS,4,5,0.75,6.92,7.67
240,SUCCESS,5,9,0.11,7.57,7.68
155,SUCCESS,4,6,0.67,7.11,7.78
174,SUCCESS,5,7,0.33,7.46,7.79
146,SUCCESS,4,5,0.22,7.67,7.89
183,SUCCESS,5,7,0.14,7.79,7.93
213,SUCCESS,3,2,0.4,7.54,7.94
247,SUCCESS,5,9,0.36,7.68,8.04
136,SUCCESS,3,3,0.62,7.43,8.05
184,SUCCESS,4,4,0.64,7.46,8.1
