TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
1,0.1,26,15,45,49.99243113814251,132.96177249698798,3607.0,40.0,5.0,7.0,10.0,19.0,1.13,4.95,19.23,5
2,0.29480519480519485,18,15,83,-7.665248971579388,12.181351932002968,9734.0,40.0,5.0,7.0,10.0,19.0,2.08,3.75,25.16,5
3,0.6541125541125541,43,19,71,-18.439173404483526,-62.6881519882846,13870.0,40.0,5.0,7.0,10.0,19.0,1.78,7.78,30.82,5
4,0.1,32,12,99,-28.269278800063837,123.18068251093683,11306.0,40.0,5.0,7.0,10.0,15.0,2.47,5.64,24.8,3
5,0.5285714285714286,80,15,62,14.082358008674035,112.85890331982495,6471.0,40.0,5.0,7.0,10.0,15.0,1.55,13.05,22.66,3
