TaskID,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,CpuTime,StartExecTime,getFinishTime,DataCenterID,VmID
1,42,12,76,75.86780876498958,-156.6069468936758,0.6089722698684963,0.1,0.7089722698684963,4,6
2,29,16,88,15.007565593629778,-32.90185691958649,0.4989722698684963,0.1,0.5989722698684963,4,7
3,100,15,12,-76.28209688788675,116.43293143644269,0.11000000000000001,0.1,0.21000000000000002,3,4
4,33,10,56,1.7690994698523355,52.56808580531771,0.3622222222222222,0.1,0.4622222222222222,5,11
5,22,14,66,21.508606001593378,-172.6902289573436,0.47233644859813084,0.1,0.5723364485981308,3,5
6,80,20,16,45.428477849299895,-136.0937118584032,0.10999999999999999,0.4622222222222222,0.5722222222222222,5,11
7,68,11,39,89.91705772264012,-88.52002280697448,0.3622222222222222,0.1,0.4622222222222222,5,12
8,78,17,38,4.022607981010651,-124.9051598237112,0.22585365853658534,0.5723364485981308,0.7981901071347162,3,5
9,43,12,66,6.5441404152689415,62.112841093633506,0.4722222222222222,0.1,0.5722222222222222,5,13
10,10,13,39,-57.074613966739754,-128.51498341633413,0.36233644859813086,0.1,0.46233644859813083,3,3
11,32,13,35,9.239821661268678,-19.423950278293688,0.21999999999999997,0.5989722698684963,0.8189722698684962,4,7
12,57,15,12,87.09742031441431,-122.40128569793546,0.10999999999999999,0.8189722698684962,0.9289722698684962,4,7
13,65,20,41,-49.15951573269909,155.43086301019036,0.3623364485981308,0.21000000000000002,0.5723364485981308,3,4
14,23,17,77,12.418770113403667,-156.84170047827513,0.5566666666666666,0.5722222222222222,1.1288888888888888,5,13
15,19,13,12,55.06738032039581,-113.27376051197686,0.11000000000000001,0.1,0.21000000000000002,4,8
16,11,18,68,-1.5880351998591635,25.585557455009308,0.5558536585365854,0.5723364485981308,1.1281901071347162,3,4
17,73,16,87,27.68499741484301,176.82461324633857,0.5820249942143025,1.1288888888888888,1.7109138831031914,5,13
18,81,10,99,20.001507349376453,-135.25128262756047,0.8289722698684963,0.1,0.9289722698684962,4,10
19,39,18,93,-16.71030435884353,-79.3325890988301,0.5823364485981308,0.1,0.6823364485981308,3,1
20,42,16,24,-19.35764714703697,95.56863882061282,0.21999999999999997,0.4622222222222222,0.6822222222222222,5,12
21,65,15,41,-14.470868520529422,-19.79005499326115,0.25465408805031453,0.1,0.3546540880503145,4,9
22,45,12,77,-21.861465329160097,-115.64305975123277,0.44585365853658543,0.6823364485981308,1.1281901071347162,3,1
23,52,15,33,-47.456578900821626,93.74046832746313,0.2200000000000002,1.7109138831031914,1.9309138831031916,5,13
24,49,15,20,56.05011501812257,-80.03303694718404,0.11363636363636365,0.9289722698684962,1.0426086335048599,4,7
25,55,12,97,-28.74898273558685,17.258818447658967,0.5822222222222222,0.1,0.6822222222222222,5,15
26,31,20,46,77.20964817799748,-154.90573271226725,0.4436363636363637,0.7089722698684963,1.15260863350486,4,6
27,57,19,60,-84.48821590658235,-175.9800646110962,0.44000000000000017,0.7981901071347162,1.2381901071347163,3,5
28,15,14,89,84.64807114377183,35.51166397334802,0.5743181818181817,0.3546540880503145,0.9289722698684962,4,9
29,42,12,40,-29.40083482971861,49.59204019706064,0.21999999999999997,0.5722222222222222,0.7922222222222222,5,11
30,81,13,90,-72.07991381956171,54.48128041212513,0.47233644859813084,0.1,0.5723364485981308,3,2
31,63,15,86,-59.29758333384784,-67.22362826842807,0.44666666666666677,0.7922222222222222,1.238888888888889,5,11
32,78,11,32,-34.53830794719333,56.98974840915605,0.14222222222222222,0.1,0.24222222222222223,5,14
33,40,15,84,-3.4107859370024585,154.0398864624949,0.5711125519831868,1.2381901071347163,1.8093026591179031,3,5
34,89,11,63,-18.65291466459574,1.3793984457666966,0.4700000000000001,0.9289722698684962,1.3989722698684963,4,9
35,48,15,81,-0.1414018764105407,115.98801981542636,0.6945977011494254,0.6822222222222222,1.3768199233716476,5,12
36,85,11,15,-68.16279021729603,-116.45136558546716,0.1100000000000001,1.8093026591179031,1.9193026591179032,3,5
37,83,12,87,7.332080618684003,-4.365735366872343,0.7246540880503146,0.9289722698684962,1.6536263579188109,4,10
