TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DataCenterLatitude,DataCenterLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
75,12.836168224299064,98,17,26,-30.851909923210933,-140.5097635439541,-77.10527729291653,94.68842319072581,7451.0,50.0,22.0,27.0,16.0,3369.0,1.11,41.83,2382.82,4
76,10.976033057851238,86,10,45,43.91570238231199,140.91329031752764,63.24689495353044,-87.86374550916128,7346.0,56.0,15.0,23.0,23.0,3371.0,0.98,34.98,2381.33,5
77,11.347933884297518,20,18,87,83.7807401771195,-143.14497400294982,63.24689495353044,-87.86374550916128,2638.0,56.0,15.0,23.0,23.0,3371.0,1.89,11.74,2367.6,5
78,13.079158878504671,69,12,21,-78.73263814908906,-22.286670342733146,-77.10527729291653,94.68842319072581,2287.0,50.0,22.0,27.0,16.0,3369.0,0.9,29.46,2372.64,4
79,13.275420560747662,25,11,47,-78.76580866366368,64.12524829620344,-77.10527729291653,94.68842319072581,724.0,50.0,22.0,27.0,16.0,3369.0,2.01,12.47,2364.62,4
80,9.343526096544963,28,15,93,81.60694105722104,54.488443265994675,69.11788034887269,60.650919370546035,1397.0,41.0,23.0,30.0,23.0,3376.0,2.08,17.38,2372.17,3
81,9.947422200441068,88,18,16,34.31466616388067,76.9620867889542,69.11788034887269,60.650919370546035,4000.0,41.0,23.0,30.0,23.0,3376.0,0.36,45.88,2385.66,3
82,13.71467289719626,38,16,67,-63.74881683824095,52.52693519068532,-77.10527729291653,94.68842319072581,2075.0,50.0,22.0,27.0,16.0,3369.0,2.87,18.76,2368.74,4
83,12.066942148760328,70,15,17,17.190288835694986,-82.1577511189537,63.24689495353044,-87.86374550916128,5140.0,56.0,15.0,23.0,23.0,3371.0,0.37,30.05,2376.97,5
84,14.340841121495327,39,17,78,-56.093405739188015,-114.18877046881553,-77.10527729291653,94.68842319072581,5067.0,50.0,22.0,27.0,16.0,3369.0,3.34,19.41,2372.13,4
85,15.06981308411215,27,17,26,-46.60318518437211,-12.188287024042495,-77.10527729291653,94.68842319072581,5383.0,50.0,22.0,27.0,16.0,3369.0,1.11,14.85,2369.96,4
86,10.057422200441067,10,18,23,65.82023942271385,93.72677696577443,69.11788034887269,60.650919370546035,1436.0,41.0,23.0,30.0,23.0,3376.0,0.51,10.0,2368.79,3
87,10.206772849791717,93,10,59,5.132041328362675,64.14331473595334,69.11788034887269,60.650919370546035,7119.0,41.0,23.0,30.0,23.0,3376.0,1.32,45.78,2389.03,3
88,12.207438016528922,74,11,65,52.91363479798875,-31.469337750975598,63.24689495353044,-87.86374550916128,3379.0,56.0,15.0,23.0,23.0,3371.0,1.41,30.65,2375.76,5
89,12.74462809917355,47,18,91,22.71953095758603,-26.573727782855173,63.24689495353044,-87.86374550916128,6340.0,56.0,15.0,23.0,23.0,3371.0,1.98,22.0,2375.43,5
90,15.312803738317758,46,20,98,-52.37467567828795,77.6026227668882,-77.10527729291653,94.68842319072581,2840.0,50.0,22.0,27.0,16.0,3369.0,4.2,22.88,2371.55,4
91,10.5898897329086,26,18,34,50.04682089002415,-33.31697450441709,69.11788034887269,60.650919370546035,5064.0,41.0,23.0,30.0,23.0,3376.0,0.76,17.36,2375.44,3
92,16.228691588785047,92,18,11,-51.45031947659445,24.738763973577704,-77.10527729291653,94.68842319072581,3992.0,50.0,22.0,27.0,16.0,3369.0,0.47,39.82,2378.36,4
93,10.810668953687822,63,10,76,-4.194383761516846,122.92784325820577,69.11788034887269,60.650919370546035,9388.0,41.0,23.0,30.0,23.0,3376.0,1.7,31.98,2385.89,3
94,16.33869158878505,83,18,85,-87.57865249805845,-95.07877882562748,-77.10527729291653,94.68842319072581,1699.0,50.0,22.0,27.0,16.0,3369.0,3.64,36.4,2375.65,4
95,13.49669421487603,50,11,26,89.83325517494083,-49.38446399628373,63.24689495353044,-87.86374550916128,2960.0,56.0,15.0,23.0,23.0,3371.0,0.57,21.53,2371.44,5
96,13.711570247933881,53,10,40,22.73605190911468,-101.00219356029932,63.24689495353044,-87.86374550916128,4610.0,56.0,15.0,23.0,23.0,3371.0,0.87,22.44,2373.55,5
97,17.133084112149536,34,17,96,-86.67545149675716,50.96704183259047,-77.10527729291653,94.68842319072581,1193.0,50.0,22.0,27.0,16.0,3369.0,4.11,17.51,2367.73,4
98,14.042148760330576,44,16,21,17.355297555358803,-81.39081723712113,63.24689495353044,-87.86374550916128,5127.0,56.0,15.0,23.0,23.0,3371.0,0.46,20.4,2373.13,5
99,11.304175447194316,35,10,55,81.74008683309131,175.02406592914485,69.11788034887269,60.650919370546035,2822.0,41.0,23.0,30.0,23.0,3376.0,1.23,19.1,2374.03,3
100,11.661318304337174,45,15,51,29.70438051530138,150.12794463277697,69.11788034887269,60.650919370546035,6920.0,41.0,23.0,30.0,23.0,3376.0,1.14,25.2,2380.54,3
101,14.215702479338841,37,11,83,17.50544558960057,25.163999286933745,63.24689495353044,-87.86374550916128,9365.0,56.0,15.0,23.0,23.0,3371.0,1.8,16.59,2376.24,5
102,11.992487135506005,82,19,58,-18.304480429413616,72.15130663520296,69.11788034887269,60.650919370546035,9764.0,41.0,23.0,30.0,23.0,3376.0,1.3,43.42,2390.72,3
103,14.901652892561982,53,14,29,12.157759184808384,-43.218750167936605,63.24689495353044,-87.86374550916128,6663.0,56.0,15.0,23.0,23.0,3371.0,0.63,23.36,2375.9,5
104,15.141322314049585,71,16,98,16.411134407790016,-141.8398846091648,63.24689495353044,-87.86374550916128,6625.0,56.0,15.0,23.0,23.0,3371.0,2.13,30.66,2379.23,5
105,18.03028037383178,62,13,40,-79.7036007867512,-33.195141758351895,-77.10527729291653,94.68842319072581,2317.0,50.0,22.0,27.0,16.0,3369.0,1.71,27.07,2371.96,4
106,18.404112149532715,78,11,20,-77.41171459020322,57.78844027684292,-77.10527729291653,94.68842319072581,890.0,50.0,22.0,27.0,16.0,3369.0,0.86,32.61,2372.49,4
107,12.369110512129382,97,19,86,4.548241363175549,110.03456122459255,69.11788034887269,60.650919370546035,8030.0,41.0,23.0,30.0,23.0,3376.0,1.93,50.32,2391.94,3
108,18.591028037383182,60,11,28,-85.72962443598608,-96.79208118873063,-77.10527729291653,94.68842319072581,1901.0,50.0,22.0,27.0,16.0,3369.0,1.2,25.77,2370.87,4
109,18.852710280373838,80,20,94,-39.64094698524324,60.380534584479165,-77.10527729291653,94.68842319072581,4469.0,50.0,22.0,27.0,16.0,3369.0,4.03,35.8,2378.3,4
110,12.92755207057094,65,10,82,62.14572675806241,95.11195536206725,69.11788034887269,60.650919370546035,1729.0,41.0,23.0,30.0,23.0,3376.0,1.84,32.9,2378.64,3
111,15.951239669421486,71,11,53,33.777459432000384,-125.65560035491647,63.24689495353044,-87.86374550916128,4182.0,56.0,15.0,23.0,23.0,3371.0,1.15,29.51,2376.03,5
112,16.389256198347105,15,14,89,86.91441866658363,-77.87543483363469,63.24689495353044,-87.86374550916128,2637.0,56.0,15.0,23.0,23.0,3371.0,1.93,8.92,2366.48,5
113,13.460019603038472,13,10,16,10.57758683938097,129.22382776574818,69.11788034887269,60.650919370546035,8069.0,41.0,23.0,30.0,23.0,3376.0,0.36,8.98,2374.97,3
114,17.12479338842975,65,20,36,-1.938642849719045,-107.21386215429486,63.24689495353044,-87.86374550916128,7425.0,56.0,15.0,23.0,23.0,3371.0,0.78,29.3,2379.08,5
115,19.731214953271035,25,17,19,-64.49557533125721,57.82518926536059,-77.10527729291653,94.68842319072581,1882.0,50.0,22.0,27.0,16.0,3369.0,0.81,14.09,2366.06,4
116,13.570019603038471,80,13,63,50.97141562262448,94.8976928825661,69.11788034887269,60.650919370546035,2702.0,41.0,23.0,30.0,23.0,3376.0,1.41,40.7,2382.61,3
117,19.90878504672898,80,13,64,-38.676547763611886,84.56431901203064,-77.10527729291653,94.68842319072581,4300.0,50.0,22.0,27.0,16.0,3369.0,2.74,33.91,2376.99,4
118,13.97911051212938,65,10,29,16.66101795640793,34.377289094790086,69.11788034887269,60.650919370546035,6111.0,41.0,23.0,30.0,23.0,3376.0,0.65,32.9,2382.67,3
119,20.506915887850475,33,16,14,-89.83344734051244,2.1697168647448564,-77.10527729291653,94.68842319072581,1434.0,50.0,22.0,27.0,16.0,3369.0,0.6,16.86,2366.66,4
120,17.422314049586777,71,13,88,26.603417947248573,-85.74149106650297,63.24689495353044,-87.86374550916128,4077.0,56.0,15.0,23.0,23.0,3371.0,1.91,29.97,2376.34,5
