TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DataCenterLatitude,DataCenterLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
186,28.98685950413223,36,16,69,82.83668256896547,-151.20732645434447,63.24689495353044,-87.86374550916128,2705.0,56.0,15.0,23.0,23.0,3371.0,1.5,17.36,2369.8,5
187,23.849240382259246,28,15,77,64.13066729818019,98.29141388321813,69.11788034887269,60.650919370546035,1718.0,41.0,23.0,30.0,23.0,3376.0,1.72,17.38,2372.39,3
188,33.207850467289724,52,12,26,-36.726537962768866,99.62961018946942,-77.10527729291653,94.68842319072581,4496.0,50.0,22.0,27.0,16.0,3369.0,1.11,23.0,2372.33,4
189,33.45084112149533,32,20,27,-33.08967917875632,59.041870038530476,-77.10527729291653,94.68842319072581,5207.0,50.0,22.0,27.0,16.0,3369.0,1.16,17.56,2370.88,4
190,29.557107438016526,34,14,69,83.82423539462297,86.32739613968295,63.24689495353044,-87.86374550916128,3658.0,56.0,15.0,23.0,23.0,3371.0,1.5,16.14,2370.26,5
191,33.70317757009346,88,18,88,3.703311132818712,-14.314857711679252,-77.10527729291653,94.68842319072581,10873.0,50.0,22.0,27.0,16.0,3369.0,3.77,38.3,2385.62,4
192,34.525607476635514,57,14,50,-61.36519104168792,-122.6320383059693,-77.10527729291653,94.68842319072581,4403.0,50.0,22.0,27.0,16.0,3369.0,2.14,25.44,2373.52,4
193,34.99289719626168,25,16,14,-54.444635200284154,-177.54712306222248,-77.10527729291653,94.68842319072581,4119.0,50.0,22.0,27.0,16.0,3369.0,0.6,13.82,2368.13,4
194,24.349240382259246,37,16,25,57.884286542033436,16.428685029853312,69.11788034887269,60.650919370546035,2446.0,41.0,23.0,30.0,23.0,3376.0,0.56,21.82,2374.54,3
195,35.12373831775701,59,16,82,-77.2298530983649,129.20067214360978,-77.10527729291653,94.68842319072581,840.0,50.0,22.0,27.0,16.0,3369.0,3.51,26.74,2370.89,4
196,24.51157804459691,87,14,63,-20.250698305083603,81.83660343408286,69.11788034887269,60.650919370546035,10081.0,41.0,23.0,30.0,23.0,3376.0,1.41,44.22,2391.39,3
197,30.127355371900823,58,16,33,48.89785198619569,-5.696606431838944,63.24689495353044,-87.86374550916128,4948.0,56.0,15.0,23.0,23.0,3371.0,0.72,25.72,2375.15,5
