TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
62,70.68823529411766,97,17,71,81.18700364288523,-9.672115230726547,1649.0,40.0,5.0,7.0,10.0,170.0,1.44,15.74,127.38,5
63,107.46363636363637,21,10,11,-73.52232407482344,-177.96441496665722,17734.0,40.0,5.0,7.0,10.0,177.0,0.24,3.85,143.25,4
64,108.46363636363637,90,18,31,-29.13614493929356,-166.97738637832882,13651.0,40.0,5.0,7.0,10.0,177.0,0.68,14.76,143.66,4
65,240.1,63,19,47,23.378989838399647,-32.104966713417326,8319.0,40.0,5.0,7.0,10.0,171.0,1.14,10.78,132.67,3
66,111.28181818181818,94,16,33,37.1231252949882,92.09034613050358,4254.0,40.0,5.0,7.0,10.0,177.0,0.73,15.22,134.46,4
67,249.5,59,19,23,28.808318593361093,66.09355204644893,4800.0,40.0,5.0,7.0,10.0,171.0,0.56,10.18,128.74,3
68,254.1,76,20,34,-15.6079756478197,5.638645316374095,11122.0,40.0,5.0,7.0,10.0,171.0,0.82,12.8,136.19,3
69,74.86470588235295,89,13,82,-77.13605834816094,-104.41648244760727,19640.0,40.0,5.0,7.0,10.0,170.0,1.66,14.26,144.84,5
70,114.28181818181818,14,17,54,72.32244996888684,-101.73563918408024,3602.0,40.0,5.0,7.0,10.0,177.0,1.19,3.29,129.18,4
71,260.9,99,17,54,-54.78260009424369,-172.0336243401685,16234.0,40.0,5.0,7.0,10.0,171.0,1.31,16.04,142.74,3
72,119.19090909090909,48,16,85,48.66081429870931,152.48624303623762,4212.0,40.0,5.0,7.0,10.0,177.0,1.88,8.32,132.0,4
73,79.68823529411766,88,13,66,89.82719293266803,-140.0597748834441,1210.0,40.0,5.0,7.0,10.0,170.0,1.34,14.11,126.26,5
74,271.7,10,19,73,64.77256010866776,-111.94780413843114,4862.0,40.0,5.0,7.0,10.0,171.0,1.77,2.83,126.23,3
75,126.91818181818182,74,11,98,-18.44367249659048,-88.10920680428818,13686.0,40.0,5.0,7.0,10.0,177.0,2.16,11.87,142.98,4
76,83.57058823529412,66,17,15,77.90452613959326,164.50522389586763,1562.0,40.0,5.0,7.0,10.0,170.0,0.3,11.09,125.09,5
77,84.45294117647059,26,10,93,8.364672655220119,-126.17216468041335,10065.0,40.0,5.0,7.0,10.0,170.0,1.89,4.6,131.47,5
78,286.3,89,10,79,-7.5815689777947455,-162.63928203175468,11741.0,40.0,5.0,7.0,10.0,171.0,1.91,14.05,137.64,3
79,135.82727272727274,69,13,69,76.33995765821865,-166.11525227927615,2571.0,40.0,5.0,7.0,10.0,177.0,1.52,11.26,131.43,4
80,302.1,26,12,10,88.89778366839946,16.731690024000955,2036.0,40.0,5.0,7.0,10.0,171.0,0.24,4.74,123.7,3
81,304.1,38,14,79,66.48390573185253,74.44757902637619,580.0,40.0,5.0,7.0,10.0,171.0,1.91,6.68,123.53,3
82,89.9235294117647,37,16,76,-53.31862459871209,44.108305809773526,15020.0,40.0,5.0,7.0,10.0,170.0,1.54,6.67,137.15,5
83,142.10000000000002,84,19,30,79.10634268567998,-158.84488970322164,2433.0,40.0,5.0,7.0,10.0,177.0,0.66,13.93,132.1,4
84,319.90000000000003,90,11,12,59.083151945820674,73.31730252763347,1389.0,40.0,5.0,7.0,10.0,171.0,0.29,14.27,126.88,3
85,322.3,65,16,73,-63.79649483980119,122.55960332940731,15352.0,40.0,5.0,7.0,10.0,171.0,1.77,10.87,139.93,3
86,94.39411764705882,27,16,98,82.65908003055742,-5.326126777386321,1492.0,40.0,5.0,7.0,10.0,170.0,1.99,5.17,123.16,5
87,144.82727272727274,10,19,21,49.53939314998007,135.28537724951673,3648.0,40.0,5.0,7.0,10.0,177.0,0.46,2.83,128.82,4
88,146.73636363636365,58,18,22,-74.2364150010191,11.57655237575463,17296.0,40.0,5.0,7.0,10.0,177.0,0.49,9.96,145.33,4
89,148.73636363636365,78,10,88,65.41582231666976,-128.3585375032369,4202.0,40.0,5.0,7.0,10.0,177.0,1.94,12.4,133.64,4
90,336.90000000000003,76,13,82,-58.228381695955875,-51.71769730026077,17432.0,40.0,5.0,7.0,10.0,171.0,1.98,12.31,142.65,3
91,100.15882352941176,39,17,31,45.626133967443224,84.06472815074136,3740.0,40.0,5.0,7.0,10.0,170.0,0.63,7.04,125.75,5
92,156.73636363636365,33,17,60,-79.50005745265267,-176.5343466329764,18160.0,40.0,5.0,7.0,10.0,177.0,1.32,6.14,144.91,4
93,101.98235294117647,56,10,67,40.81008459841581,125.60332906535132,4556.0,40.0,5.0,7.0,10.0,170.0,1.36,9.1,127.6,5
94,353.3,38,20,28,-48.12842086450635,-143.22562029126982,16604.0,40.0,5.0,7.0,10.0,171.0,0.68,7.1,139.35,3
95,358.90000000000003,87,20,46,-61.17101287050457,-36.20412309054325,17132.0,40.0,5.0,7.0,10.0,171.0,1.11,14.45,142.95,3
96,105.9235294117647,88,14,34,41.75458408406823,-60.00660025763766,6409.0,40.0,5.0,7.0,10.0,170.0,0.69,14.18,131.29,5
97,162.19090909090912,16,13,30,66.03933767716728,-99.87998231254883,4303.0,40.0,5.0,7.0,10.0,177.0,0.66,3.31,129.73,4
98,107.9235294117647,47,13,13,48.683964797472385,-144.74674010060485,5380.0,40.0,5.0,7.0,10.0,170.0,0.26,7.96,127.64,5
99,164.91818181818184,19,14,88,25.083103571530884,-172.9810638880922,7660.0,40.0,5.0,7.0,10.0,177.0,1.94,3.83,133.67,4
100,368.1,75,18,29,-74.50662296792527,-1.990731062627134,17159.0,40.0,5.0,7.0,10.0,171.0,0.7,12.51,142.07,3
