TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
3,0.1,38,11,64,23.30137437065585,-34.75424557463276,10775.0,26.0,1.0,6.0,3.0,149.0,1.33,218.0,191.9,5
2,0.1,65,19,87,42.812014475454305,66.51562909471505,12587.0,46.0,3.0,9.0,7.0,87.0,8.7,821.0,391.91,4
1,0.1,21,10,87,-9.498310453323867,-120.30561848496205,15965.0,24.0,9.0,9.0,10.0,87.0,6.69,489.0,258.51,3
4,0.1,31,18,85,22.780848592526425,52.97154559155666,14520.0,26.0,1.0,6.0,3.0,149.0,1.0,232.0,197.4,5
