Metric,Without Security Layer,With Security Layer
AWT,0.051891557545432995,0.08035472009460289
ACT,0.22041685687249998,0.22008040252501923
TH,6239.885619252506,4064.9366730321894
EC,3565.439193675895,2315.00569544448
PCost,640.8337137450001,415.78444288000003
TCR,0.921,0.9907621247113164
SLAV,7.899999999999996,0.9237875288683584
IF,35.17221007178823,34.88662314232147
PT,640.8337137450001,415.78444288000003
AVU,19.976220484337546,19.903306232243466
ARU,7.8142900149739,7.765068762492241
TP,2924.605479930895,1899.22125256448
